IBEX 35
Spain
Null
<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IBEX,D,20031223,000000,7638.50,7696.50,7629.60,7696.50,97200,0
^IBEX,D,20031229,000000,7692.90,7762.40,7690.00,7760.40,102200,0
^IBEX,D,20031230,000000,7801.60,7818.00,7731.00,7737.20,140600,0
^IBEX,D,20040102,000000,7746.10,7879.20,7743.60,7879.20,94600,0
^IBEX,D,20040105,000000,7874.20,7920.50,7837.00,7911.40,114800,0
^IBEX,D,20040107,000000,7988.00,7988.00,7894.90,7913.70,237400,0
^IBEX,D,20040108,000000,7942.70,7991.80,7922.80,7943.40,193000,0
^IBEX,D,20040109,000000,8002.00,8002.00,7873.30,7924.60,177000,0
^IBEX,D,20040112,000000,7875.10,7934.60,7850.10,7934.60,134600,0
^IBEX,D,20040113,000000,7958.00,8011.50,7937.40,7946.10,133000,0
^IBEX,D,20040114,000000,7923.90,7988.90,7914.00,7978.10,138200,0
^IBEX,D,20040115,000000,7975.60,7975.60,7913.00,7957.30,148000,0
^IBEX,D,20040116,000000,7981.20,8004.70,7941.70,7979.30,141000,0
^IBEX,D,20040119,000000,8000.60,8041.10,7992.30,8016.30,93800,0
^IBEX,D,20040120,000000,8022.90,8040.80,7970.80,7987.90,158800,0
^IBEX,D,20040121,000000,7981.90,8051.90,7975.50,8051.90,138400,0
^IBEX,D,20040122,000000,8102.90,8109.90,8058.70,8101.30,148200,0
^IBEX,D,20040123,000000,8111.20,8132.80,8081.10,8114.50,115600,0
^IBEX,D,20040126,000000,8128.00,8128.00,8011.70,8031.40,129200,0
^IBEX,D,20040127,000000,8085.80,8134.80,8061.10,8061.10,134800,0
^IBEX,D,20040128,000000,8027.30,8116.70,8020.20,8116.40,155000,0
^IBEX,D,20040129,000000,8050.80,8088.60,7984.90,8013.10,145400,0
^IBEX,D,20040130,000000,8036.70,8036.70,7910.50,7929.90,176800,0
^IBEX,D,20040202,000000,7937.20,7973.00,7919.10,7958.60,132400,0
^IBEX,D,20040203,000000,7964.00,7968.80,7919.70,7960.30,133200,0
^IBEX,D,20040204,000000,7934.30,7936.40,7874.30,7888.80,171400,0
^IBEX,D,20040205,000000,7880.80,7990.20,7869.60,7949.10,158400,0
^IBEX,D,20040206,000000,7980.00,8028.80,7952.50,8024.90,149600,0
^IBEX,D,20040209,000000,8059.10,8135.20,8051.30,8135.20,148400,0
^IBEX,D,20040210,000000,8137.10,8185.60,8109.90,8171.90,154600,0
^IBEX,D,20040211,000000,8155.80,8197.20,8118.70,8197.20,133800,0
^IBEX,D,20040212,000000,8222.80,8242.30,8180.60,8242.30,155800,0
^IBEX,D,20040213,000000,8221.00,8259.50,8173.70,8199.60,145000,0
^IBEX,D,20040216,000000,8187.00,8226.50,8176.80,8226.50,68000,0
^IBEX,D,20040217,000000,8233.00,8266.30,8227.30,8258.90,130000,0
^IBEX,D,20040218,000000,8285.30,8285.30,8249.00,8283.00,128400,0
^IBEX,D,20040219,000000,8285.60,8350.90,8265.00,8340.60,135200,0
^IBEX,D,20040220,000000,8307.00,8310.20,8213.30,8237.80,134800,0
^IBEX,D,20040223,000000,8246.60,8298.30,8234.90,8245.20,88600,0
^IBEX,D,20040224,000000,8233.00,8234.60,8106.70,8159.60,144000,0
^IBEX,D,20040225,000000,8155.70,8202.50,8122.60,8173.60,123200,0
^IBEX,D,20040226,000000,8214.50,8218.30,8113.90,8160.20,111800,0
^IBEX,D,20040227,000000,8194.50,8279.00,8189.20,8249.40,144400,0
^IBEX,D,20040301,000000,8277.10,8307.00,8256.40,8300.40,121000,0
^IBEX,D,20040302,000000,8340.60,8363.40,8316.10,8354.00,108600,0
^IBEX,D,20040303,000000,8325.20,8337.00,8261.10,8280.40,133800,0
^IBEX,D,20040304,000000,8299.50,8347.00,8275.70,8337.90,114000,0
^IBEX,D,20040305,000000,8340.70,8365.90,8278.20,8346.10,125400,0
^IBEX,D,20040308,000000,8355.40,8376.00,8344.00,8369.70,83600,0
^IBEX,D,20040309,000000,8322.40,8334.20,8259.40,8286.70,101800,0
^IBEX,D,20040310,000000,8255.60,8315.20,8237.10,8292.90,124600,0
^IBEX,D,20040311,000000,8200.40,8204.80,8034.90,8112.40,197000,0
^IBEX,D,20040312,000000,7944.80,8062.10,7881.80,8032.60,199000,0
^IBEX,D,20040315,000000,7845.80,7904.30,7681.40,7699.10,306000,0
^IBEX,D,20040316,000000,7672.80,7857.10,7659.30,7810.70,266000,0
^IBEX,D,20040317,000000,7876.10,7966.10,7845.30,7948.10,202600,0
^IBEX,D,20040318,000000,7974.50,7974.50,7795.20,7820.40,160600,0
^IBEX,D,20040319,000000,7863.60,7910.50,7791.80,7879.10,205400,0
^IBEX,D,20040322,000000,7813.90,7818.30,7671.50,7727.80,141000,0
^IBEX,D,20040323,000000,7715.10,7839.10,7707.60,7768.30,138200,0
^IBEX,D,20040324,000000,7777.20,7827.50,7710.40,7752.90,164000,0
^IBEX,D,20040325,000000,7802.80,7914.80,7799.70,7914.80,157200,0
^IBEX,D,20040326,000000,7973.20,7974.60,7918.20,7952.80,108000,0
^IBEX,D,20040329,000000,7970.40,8031.00,7889.50,8021.10,94400,0
^IBEX,D,20040330,000000,8036.40,8037.70,7961.70,8004.20,93200,0
^IBEX,D,20040331,000000,8015.20,8066.30,7990.40,8018.10,117800,0
^IBEX,D,20040401,000000,8039.90,8098.00,8016.00,8097.90,117600,0
^IBEX,D,20040402,000000,8102.10,8273.40,8076.70,8269.70,169400,0
^IBEX,D,20040405,000000,8251.40,8311.70,8240.40,8285.90,112400,0
^IBEX,D,20040406,000000,8293.70,8320.30,8251.50,8281.80,130000,0
^IBEX,D,20040407,000000,8292.10,8306.50,8262.30,8294.80,98400,0
^IBEX,D,20040408,000000,8315.00,8421.20,8307.80,8390.10,110800,0
^IBEX,D,20040413,000000,8414.60,8478.00,8411.90,8444.30,118600,0
^IBEX,D,20040414,000000,8373.60,8396.50,8278.30,8352.00,134000,0
^IBEX,D,20040415,000000,8352.60,8370.40,8293.90,8310.40,106600,0
^IBEX,D,20040416,000000,8317.10,8391.00,8315.00,8387.90,137000,0
^IBEX,D,20040419,000000,8354.40,8404.10,8306.90,8340.40,82400,0
^IBEX,D,20040420,000000,8374.40,8414.80,8363.10,8375.20,96400,0
^IBEX,D,20040421,000000,8311.30,8323.70,8254.60,8282.10,113600,0
^IBEX,D,20040422,000000,8281.70,8321.40,8224.00,8293.60,139000,0
^IBEX,D,20040423,000000,8358.70,8376.70,8325.70,8331.70,101600,0
^IBEX,D,20040426,000000,8359.00,8397.90,8329.20,8362.90,109200,0
^IBEX,D,20040427,000000,8362.40,8378.30,8317.60,8359.00,102000,0
^IBEX,D,20040428,000000,8368.60,8368.60,8232.70,8232.70,145400,0
^IBEX,D,20040429,000000,8207.20,8224.70,8116.40,8159.40,182800,0
^IBEX,D,20040430,000000,8132.50,8134.80,8076.40,8109.50,168200,0
^IBEX,D,20040503,000000,8084.10,8178.40,8071.50,8170.60,104000,0
^IBEX,D,20040504,000000,8184.00,8184.10,8117.70,8151.60,139800,0
^IBEX,D,20040505,000000,8113.90,8266.00,8108.60,8235.80,168800,0
^IBEX,D,20040506,000000,8233.70,8238.70,8116.80,8119.30,184600,0
^IBEX,D,20040507,000000,8121.90,8134.10,8000.10,8027.00,194000,0
^IBEX,D,20040510,000000,7925.50,7929.20,7797.20,7815.10,231800,0
^IBEX,D,20040511,000000,7843.30,7920.20,7835.40,7909.00,159400,0
^IBEX,D,20040512,000000,7939.80,7940.50,7821.00,7829.00,169200,0
^IBEX,D,20040513,000000,7878.50,7886.80,7816.40,7866.40,167400,0
^IBEX,D,20040514,000000,7798.90,7831.00,7735.50,7779.70,173800,0
^IBEX,D,20040517,000000,7704.30,7717.60,7605.70,7671.90,156400,0
^IBEX,D,20040518,000000,7724.50,7749.90,7694.90,7724.90,137200,0
^IBEX,D,20040519,000000,7821.50,7922.60,7784.10,7900.00,170000,0
^IBEX,D,20040520,000000,7828.10,7835.10,7765.70,7817.20,82600,0
^IBEX,D,20040521,000000,7849.20,7881.70,7770.60,7806.50,115800,0
^IBEX,D,20040524,000000,7857.50,7955.60,7828.40,7883.90,122600,0
^IBEX,D,20040525,000000,7832.10,7852.90,7793.80,7841.50,117200,0
^IBEX,D,20040526,000000,7952.50,7974.30,7901.10,7926.10,110800,0
^IBEX,D,20040527,000000,7933.30,7996.90,7922.80,7965.40,106400,0
^IBEX,D,20040528,000000,8018.90,8029.10,7944.00,7951.60,120400,0
^IBEX,D,20040531,000000,7927.90,7963.90,7916.90,7959.30,48400,0
^IBEX,D,20040601,000000,7932.40,7939.10,7837.20,7848.40,98000,0
^IBEX,D,20040602,000000,7884.60,7964.40,7882.50,7908.70,102200,0
^IBEX,D,20040603,000000,7912.70,7913.30,7836.10,7901.90,125600,0
^IBEX,D,20040604,000000,7910.50,8019.20,7888.30,8010.70,103000,0
^IBEX,D,20040607,000000,8054.60,8111.90,8054.60,8109.00,98400,0
^IBEX,D,20040608,000000,8135.80,8147.00,8093.50,8103.70,99200,0
^IBEX,D,20040609,000000,8127.50,8152.10,8067.60,8075.20,114000,0
^IBEX,D,20040610,000000,8051.20,8100.00,8049.80,8097.70,85200,0
^IBEX,D,20040611,000000,8078.60,8078.60,8035.70,8062.30,78800,0
^IBEX,D,20040614,000000,8030.70,8050.40,7939.30,7965.20,121000,0
^IBEX,D,20040615,000000,7973.90,8042.90,7961.00,8028.60,117600,0
^IBEX,D,20040616,000000,8055.20,8073.70,8029.60,8069.30,96400,0
